Branch,Address,Repayments in $,Date,lat,lon
Jackson Heights - Queens 1,004 - 46 Ave,7,Friday 12/3/2021,40.755684,-73.883072
Jackson Heights - Queens 1,014 - 42 Ave,10,Friday 12/3/2021,40.755684,-73.883072
Jackson Heights - Queens 1,037 - 10th Ave,8,Friday 12/3/2021,40.755684,-73.883072
Jackson Heights - Queens 1,041 - 3rd Ave,6,Friday 12/3/2021,40.755684,-73.883072
Jackson Heights - Queens 1,061 - 1st Ave,4,Friday 12/3/2021,40.755684,-73.883072
Jackson Heights - Queens 1,071 - 49 Ave,2,Friday 12/3/2021,40.755684,-73.883072
Gates Avenue - Brooklyn 1,136 - 100 Street,11,Friday 12/3/2021,40.689492,-73.922067
Gates Avenue - Brooklyn 1,1 - 38th Street,14,Friday 12/3/2021,40.689492,-73.922067
Gates Avenue - Brooklyn 1,1 - 68th Street,7,Friday 12/3/2021,40.689492,-73.922067
Gates Avenue - Brooklyn 1,10 - 12th Street,5,Friday 12/3/2021,40.689492,-73.922067
Gates Avenue - Brooklyn 1,12 - 48th Street,4,Friday 12/3/2021,40.689492,-73.922067
Prospect Heights,9 - 8th Street,11,Friday 12/3/2021,40.677422,-73.966822
Prospect Heights,6 - 3rd Ave,13,Friday 12/3/2021,40.677422,-73.966822
Washington Square,,20,Friday 12/3/2021,40.730922,-73.997322
Washington Square,,40,Friday 12/3/2021,40.730922,-73.997322
