,group,name,member_attendance,member_repayment,business_type
0,79-669,Margaret Keller,0.997,1880.4,Print production planner
1,30-371,Heather Wright,0.913,233.04,Insurance broker
2,26-283,Sheri Taylor,0.94,792.96,"Scientist, product/process development"
3,26-581,Ruth Simmons,0.85,312.96,Dietitian
4,57-088,Tim Vincent,0.943,49.2,Broadcast presenter
5,61-387,Brian Evans,0.925,825.6,Clinical biochemist
6,18-725,Jessica Brown,0.82,49.44,Energy manager
7,59-056,Catherine Becker,0.946,2291.52,Medical technical officer
8,37-889,Lisa Barrett,0.929,2290.32,Firefighter
9,75-174,Corey Chang,0.805,1223.52,Operational investment banker
10,81-749,Carlos Rodriguez,0.84,1927.68,Secretary/administrator
11,96-198,Melissa Smith,0.993,2079.6,"Psychotherapist, child"
12,75-174,Valerie Frederick,0.872,737.52,Financial controller
13,10-628,Carolyn Ross,0.8,1341.6,Ergonomist
14,08-592,Christopher Abbott,0.871,1034.64,"Development worker, community"
15,40-846,Heidi Moyer,0.932,2239.44,Database administrator
16,16-030,Ashley Elliott,0.892,1404.96,International aid/development worker
17,85-787,Andrea Li,0.852,1396.8,Commercial/residential surveyor
18,38-133,Carol Cook,0.866,1284.0,"Administrator, sports"
19,15-624,Kristin Harvey,0.907,600.0,Theatre director
20,85-613,Stephanie Miller,0.801,982.8,Optometrist
21,67-140,Dorothy King,1.0,2314.08,Estate agent
22,70-869,Leslie Simmons,0.853,224.16,Advertising art director
23,42-289,Cynthia Olson,0.906,1818.24,Data processing manager
24,55-857,Brian Gibson,0.829,653.04,"Surveyor, building control"
25,53-198,Samantha Clark,0.867,769.44,"Investment banker, corporate"
26,79-050,Jade Owen,0.91,2302.32,Site engineer
27,31-096,Jessica Gates,0.846,1422.48,"Scientist, clinical (histocompatibility and immunogenetics)"
28,43-604,Benjamin Summers,0.883,624.0,Ambulance person
29,82-819,Lisa Carroll,0.871,2077.44,"Engineer, land"
30,62-983,Martin Morales,0.891,223.44,Diagnostic radiographer
31,41-354,Nicole Hansen,0.873,1424.4,Charity fundraiser
32,18-725,Christy Wood,0.847,2046.96,Quantity surveyor
33,84-070,Laura Oconnor,0.971,1800.96,Pension scheme manager
34,13-025,Jessica Nguyen,0.848,842.16,Advertising account executive
35,33-902,Wayne Delgado,0.94,1388.16,"Surveyor, mining"
36,97-048,Brandon Smith,0.854,990.0,Bonds trader
37,89-616,Jacqueline Chen,0.955,1216.08,"Administrator, charities/voluntary organisations"
38,51-893,Brian York,0.935,417.84,Structural engineer
39,95-590,Emily Baker,0.845,860.4,"Designer, interior/spatial"
40,40-969,Christy Kelly,0.835,466.56,Land
41,49-035,Zachary Castro,0.878,1117.2,"Education officer, museum"
42,30-490,Richard Cochran,0.913,2333.52,"Runner, broadcasting/film/video"
43,57-088,Sarah Little,0.842,2157.36,Chief Strategy Officer
44,24-581,Destiny Vasquez,0.966,2329.68,Educational psychologist
45,98-284,Chelsea Dunn,0.889,218.64,Diagnostic radiographer
46,18-423,Tina Robinson,0.829,2087.76,Leisure centre manager
47,16-088,Michael Lam,0.883,1041.84,Armed forces training and education officer
48,54-084,Amber Welch,0.969,67.92,Actor
49,79-303,Lori Martin,0.885,1565.52,"Radiographer, therapeutic"
50,69-199,Brittney Anderson,0.958,1827.6,Solicitor
51,74-291,Karen Schmidt,0.91,93.84,Chartered public finance accountant
52,69-331,Jennifer Rogers,0.801,1018.32,"Scientist, clinical (histocompatibility and immunogenetics)"
53,62-560,Brittany Gay,0.948,911.28,Clinical research associate
54,07-542,Suzanne Rose,0.963,2187.6,Jewellery designer
55,98-639,Beth Rodriguez,0.904,600.96,Associate Professor
56,31-914,Stephanie Carroll,0.931,451.44,Research scientist (medical)
57,20-157,Regina Snow,0.983,1790.4,Tax adviser
58,93-944,Michael Proctor,0.821,1155.84,"Education officer, community"
59,12-637,Thomas Harris,0.968,426.48,Clinical molecular geneticist
